date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
27/10/2016,12390,9318,523,328,9.318,0.523
28/10/2016,14532,10579,1478,362,10.579,1.478
29/10/2016,11376,7955,1894,281,7.955,1.894
30/10/2016,14737,10940,173,360,10.940,0.173
31/10/2016,13436,9982,1191,359,9.982,1.191
01/11/2016,30190,22446,1763,753,22.446,1.763
02/11/2016,16513,12126,1074,412,12.126,1.074
03/11/2016,19682,14068,640,466,14.068,0.640
04/11/2016,2207,1427,0,61,1.427,0.000
05/11/2016,3443,2225,0,93,2.225,0.000
06/11/2016,9662,7195,170,248,7.195,0.170
07/11/2016,13192,9757,1242,340,9.757,1.242
08/11/2016,18606,13315,1349,450,13.315,1.349
09/11/2016,17586,13037,838,455,13.037,0.838
10/11/2016,21344,15312,1995,509,15.312,1.995
11/11/2016,16311,11851,1304,417,11.851,1.304
12/11/2016,9921,7326,1359,267,7.326,1.359
13/11/2016,6737,4961,266,187,4.961,0.266
14/11/2016,13734,10222,385,356,10.222,0.385
15/11/2016,11587,8409,1856,295,8.409,1.856
16/11/2016,12303,8881,2142,298,8.881,2.142
17/11/2016,15141,10504,948,353,10.504,0.948
18/11/2016,11619,8564,79,293,8.564,0.079
19/11/2016,17816,13346,198,436,13.346,0.198
20/11/2016,4327,3069,415,108,3.069,0.415
21/11/2016,14434,10803,515,373,10.803,0.515
22/11/2016,12083,8972,282,313,8.972,0.282
23/11/2016,23947,17500,6134,602,17.500,6.134
24/11/2016,19426,13863,1949,467,13.863,1.949
25/11/2016,8535,6323,353,226,6.323,0.353
26/11/2016,12832,9357,1096,324,9.357,1.096
27/11/2016,1240,802,0,39,0.802,0.000
28/11/2016,12886,9291,2872,336,9.291,2.872
29/11/2016,15865,11395,4338,394,11.395,4.338
30/11/2016,10835,7151,177,232,7.151,0.177
01/12/2016,10000,7076,2384,248,7.076,2.384
02/12/2016,22077,16118,6087,565,16.118,6.087
03/12/2016,10512,7575,2097,263,7.575,2.097
04/12/2016,3333,2291,70,88,2.291,0.070
05/12/2016,17520,12353,2353,416,12.353,2.353
06/12/2016,14459,10492,944,350,10.492,0.944
07/12/2016,20565,15305,853,506,15.305,0.853
08/12/2016,24919,18342,336,606,18.342,0.336
09/12/2016,13301,9340,510,304,9.340,0.510
10/12/2016,11995,8053,391,270,8.053,0.391
11/12/2016,4267,2782,86,111,2.782,0.086
12/12/2016,13909,9262,358,291,9.262,0.358
13/12/2016,9744,7005,514,244,7.005,0.514
14/12/2016,18838,13601,889,464,13.601,0.889
15/12/2016,13645,9984,1534,340,9.984,1.534
16/12/2016,22452,15995,2340,528,15.995,2.340
17/12/2016,10979,7878,1262,264,7.878,1.262
18/12/2016,19452,14814,0,495,14.814,0.000
19/12/2016,13637,9741,2870,344,9.741,2.870
20/12/2016,27032,19965,951,657,19.965,0.951
21/12/2016,20437,14434,1647,482,14.434,1.647
22/12/2016,12226,8799,677,292,8.799,0.677
23/12/2016,21049,15788,1184,532,15.788,1.184
24/12/2016,12603,9173,900,309,9.173,0.900
25/12/2016,2753,1895,47,75,1.895,0.047
26/12/2016,15457,10820,1769,352,10.820,1.769
27/12/2016,20188,14165,1510,455,14.165,1.510
28/12/2016,11157,8228,707,285,8.228,0.707
29/12/2016,13039,9461,1333,310,9.461,1.333
30/12/2016,16310,11830,4583,418,11.830,4.583
31/12/2016,6426,4465,349,153,4.465,0.349
01/01/2017,805,520,0,23,0.520,0.000
02/01/2017,828,535,0,26,0.535,0.000
03/01/2017,22320,16416,3508,570,16.416,3.508
04/01/2017,17713,11524,46,339,11.524,0.046
05/01/2017,6207,4515,224,164,4.515,0.224
06/01/2017,1516,980,0,46,0.980,0.000
07/01/2017,11295,8629,595,313,8.629,0.595
08/01/2017,10440,7407,1935,252,7.407,1.935
09/01/2017,14209,10290,2195,351,10.290,2.195
10/01/2017,11725,8621,606,303,8.621,0.606
11/01/2017,20166,14429,3719,502,14.429,3.719
12/01/2017,23969,17019,3236,558,17.019,3.236
13/01/2017,13294,9576,1157,327,9.576,1.157
14/01/2017,10972,7930,1804,281,7.930,1.804
15/01/2017,14802,10841,1072,359,10.841,1.072
16/01/2017,23473,17310,859,579,17.310,0.859
17/01/2017,14445,10497,230,350,10.497,0.230
18/01/2017,16882,11759,172,379,11.759,0.172
19/01/2017,13698,9166,856,299,9.166,0.856
20/01/2017,17057,12219,808,404,12.219,0.808
21/01/2017,3429,2396,437,94,2.396,0.437
22/01/2017,3269,2122,42,88,2.122,0.042
23/01/2017,13387,9284,430,307,9.284,0.430
24/01/2017,13882,9397,1228,305,9.397,1.228
25/01/2017,5230,3420,99,119,3.420,0.099
26/01/2017,0,0,0,0,0.000,0.000
27/01/2017,0,0,0,0,0.000,0.000
28/01/2017,0,0,0,0,0.000,0.000
29/01/2017,0,0,0,0,0.000,0.000
30/01/2017,0,0,0,0,0.000,0.000
31/01/2017,0,0,0,0,0.000,0.000
01/02/2017,0,0,0,0,0.000,0.000
02/02/2017,55,36,0,2,0.036,0.000
03/02/2017,5912,4146,183,143,4.146,0.183
04/02/2017,834,539,0,25,0.539,0.000
05/02/2017,5984,4231,259,146,4.231,0.259
06/02/2017,9029,6495,789,229,6.495,0.789
07/02/2017,11806,8605,783,293,8.605,0.783
08/02/2017,10917,7834,891,265,7.834,0.891
09/02/2017,9390,7169,113,255,7.169,0.113
10/02/2017,7200,5045,924,174,5.045,0.924
11/02/2017,19223,13597,1732,438,13.597,1.732
12/02/2017,3540,2430,51,87,2.430,0.051
13/02/2017,36318,26544,700,829,26.544,0.700
14/02/2017,26012,18415,134,565,18.415,0.134
15/02/2017,21264,15176,654,479,15.176,0.654
16/02/2017,21099,15291,1183,499,15.291,1.183
17/02/2017,17218,12160,88,373,12.160,0.088
18/02/2017,0,0,0,0,0.000,0.000
19/02/2017,0,0,0,0,0.000,0.000
20/02/2017,20915,15347,258,483,15.347,0.258
21/02/2017,23366,17019,248,549,17.019,0.248
22/02/2017,32974,23637,576,729,23.637,0.576
23/02/2017,6910,4805,550,159,4.805,0.550
24/02/2017,4586,3192,782,119,3.192,0.782
25/02/2017,903,584,0,27,0.584,0.000
26/02/2017,5026,3500,803,131,3.500,0.803
27/02/2017,22002,16204,286,542,16.204,0.286
28/02/2017,20949,15337,302,508,15.337,0.302
01/03/2017,18709,13264,874,435,13.264,0.874
02/03/2017,9121,6764,26,222,6.764,0.026
03/03/2017,23131,16709,482,532,16.709,0.482
04/03/2017,18877,14055,1281,478,14.055,1.281
05/03/2017,2968,2018,0,78,2.018,0.000
06/03/2017,18119,12822,1184,420,12.822,1.184
07/03/2017,8868,6569,615,231,6.569,0.615
08/03/2017,12592,9285,188,300,9.285,0.188
09/03/2017,16910,12835,1451,457,12.835,1.451
10/03/2017,15071,10857,174,353,10.857,0.174
11/03/2017,1146,741,0,34,0.741,0.000
12/03/2017,1231,796,0,37,0.796,0.000
13/03/2017,13076,9675,274,340,9.675,0.274
14/03/2017,25369,17963,2812,588,17.963,2.812
15/03/2017,11828,8189,1360,275,8.189,1.360
16/03/2017,13386,9214,525,301,9.214,0.525
17/03/2017,12221,8615,251,283,8.615,0.251
18/03/2017,2403,1692,26,69,1.692,0.026
19/03/2017,1367,884,0,40,0.884,0.000
20/03/2017,4096,2877,0,106,2.877,0.000
21/03/2017,16099,11437,1150,388,11.437,1.150
22/03/2017,9849,7350,114,264,7.350,0.114
23/03/2017,19111,13907,2577,472,13.907,2.577
24/03/2017,17162,12702,988,415,12.702,0.988
25/03/2017,1161,750,0,33,0.750,0.000
26/03/2017,4920,3611,98,129,3.611,0.098
27/03/2017,10688,7634,2125,261,7.634,2.125
28/03/2017,15290,11081,1339,375,11.081,1.339
29/03/2017,22507,16126,4240,549,16.126,4.240
30/03/2017,14097,9913,2044,333,9.913,2.044
31/03/2017,12988,9305,906,318,9.305,0.906
01/04/2017,7721,5889,372,204,5.889,0.372
02/04/2017,3296,2286,37,86,2.286,0.037
03/04/2017,18924,13724,2281,453,13.724,2.281
04/04/2017,18336,13278,736,432,13.278,0.736
05/04/2017,15375,11484,768,388,11.484,0.768
06/04/2017,20230,15139,248,511,15.139,0.248
07/04/2017,11657,8437,881,281,8.437,0.881
08/04/2017,10972,7939,1403,276,7.939,1.403
09/04/2017,37255,27868,421,894,27.868,0.421
10/04/2017,24167,17392,2293,564,17.392,2.293
11/04/2017,18940,14269,245,487,14.269,0.245
12/04/2017,11702,8894,180,313,8.894,0.180
13/04/2017,12548,9210,1243,312,9.210,1.243
14/04/2017,13242,9695,1072,343,9.695,1.072
15/04/2017,4238,2794,60,100,2.794,0.060
16/04/2017,16954,11974,1041,392,11.974,1.041
17/04/2017,10228,7153,1147,247,7.153,1.147
18/04/2017,11196,7735,399,248,7.735,0.399
19/04/2017,14413,9830,1572,319,9.830,1.572
20/04/2017,6720,4643,702,171,4.643,0.702
21/04/2017,16906,12227,2966,422,12.227,2.966
22/04/2017,32210,23114,234,712,23.114,0.234
23/04/2017,36537,26240,105,793,26.240,0.105
24/04/2017,23665,17251,1190,559,17.251,1.190
25/04/2017,443,286,0,11,0.286,0.000
26/04/2017,22493,16505,3457,555,16.505,3.457
27/04/2017,1154,755,0,28,0.755,0.000
28/04/2017,22243,15974,2306,532,15.974,2.306
29/04/2017,3299,2291,0,83,2.291,0.000
30/04/2017,15212,10782,594,348,10.782,0.594
01/05/2017,977,632,0,26,0.632,0.000
02/05/2017,0,0,0,0,0.000,0.000
03/05/2017,0,0,0,0,0.000,0.000
04/05/2017,171,111,0,4,0.111,0.000
05/05/2017,10750,7361,71,254,7.361,0.071
06/05/2017,12307,8289,42,281,8.289,0.042
07/05/2017,3169,2183,0,83,2.183,0.000
08/05/2017,3887,2825,63,96,2.825,0.063
09/05/2017,3766,2623,0,104,2.623,0.000
